accession_id,Haplotype
6933,Major
6961,Minor
6970,Major
6971,Minor
7063,Major
7077,Minor
7081,Minor
7327,Minor
7328,Major
8264,Major
8357,Minor
9506,Minor
9507,Minor
9508,Minor
9509,Minor
9510,Minor
9511,Minor
9512,Minor
9513,Major
9514,Minor
9515,Minor
9517,Major
9518,Major
9519,Major
9520,Major
9521,Major
9522,Minor
9523,Major
9524,Major
9525,Major
9526,Minor
9527,Major
9528,Major
9529,Minor
9530,Major
9531,Major
9532,Minor
9533,Major
9534,Major
9535,Major
9536,Major
9537,Minor
9539,Major
9540,Major
9541,Minor
9542,Minor
9543,Major
9544,Minor
9545,Major
9546,Major
9547,Minor
9548,Major
9549,Minor
9550,Minor
9551,Major
9552,Major
9553,Major
9554,Major
9555,Minor
9556,Major
9557,Major
9558,Major
9559,Minor
9560,Minor
9561,Major
9562,Major
9564,Major
9565,Minor
9567,Major
9568,Major
9569,Major
9571,Minor
9573,Minor
9574,Major
9576,Major
9577,Major
9578,Major
9579,Minor
9581,Major
9582,Major
9584,Minor
9585,Minor
9586,Major
9587,Major
9588,Major
9589,Major
9590,Major
9591,Major
9592,Major
9593,Major
9594,Major
9595,Major
9596,Minor
9597,Minor
9598,Minor
9599,Major
9600,Major
9601,Major
9602,Minor
9817,Minor
9819,Minor
9820,Major
9821,Minor
9822,Minor
9823,Major
9824,Major
9825,Major
9826,Major
9827,Minor
9828,Major
9830,Minor
9831,Major
9832,Major
9833,Major
9834,Major
9835,Minor
9836,Major
9837,Major
9838,Major
9839,Major
9840,Major
9841,Major
9843,Major
9844,Major
9845,Major
9846,Major
9847,Major
9848,Major
9849,Major
9850,Major
9851,Major
9852,Minor
9853,Major
9854,Minor
9855,Minor
9856,Major
9857,Major
9858,Minor
9859,Major
9860,Minor
9861,Major
9862,Major
9864,Minor
9866,Minor
9867,Major
9868,Minor
9869,Major
9870,Major
9871,Major
9873,Minor
9874,Minor
9875,Major
9876,Major
9877,Major
9878,Major
9879,Major
9880,Minor
9881,Major
9882,Major
9883,Major
9885,Major
9886,Major
9887,Major
9888,Major
9890,Minor
9892,Major
9894,Minor
9895,Minor
9897,Minor
9898,Major
9899,Major
9900,Minor
9901,Major
9902,Major
9903,Major
9904,Major
9905,Minor
9906,Minor
9941,Minor
9942,Major
9943,Minor
9944,Major
9945,Major
9946,Minor
9947,Minor
9948,Major
9949,Major
9950,Major
9951,Minor