accession_id,Dittberner_moleco18_Delta_13C
9844,-33.49521688
9564,-33.55260607
9561,-33.64856206
9899,-33.93271674
9582,-33.94362089
9577,-34.05128269
9870,-34.24603672
9557,-34.31625025
9850,-34.31703791
9898,-34.3624788
9588,-34.43667374
9521,-34.45688032
9892,-34.50211257
9587,-34.50326954
9949,-34.56486591
9878,-34.66031712
9877,-34.67265904
9885,-34.7681596
9519,-34.81872953
9581,-34.84632644
9594,-34.85797193
9568,-34.89966984
9834,-34.92742384
9888,-35.04018228
6971,-35.13353294
9821,-35.15303952
9548,-35.25007578
9866,-35.31154023
9528,-35.31503306
7327,-35.34981886
9841,-35.35414222
9595,-35.36629422
9539,-35.41032868
9846,-35.43213517
9596,-35.44287987
9858,-35.44901245
9601,-35.50022732
9825,-35.50464334
9836,-35.52848657
9597,-35.53948284
9540,-35.56066638
9874,-35.56385979
9525,-35.57177431
9861,-35.59267975
9857,-35.62080077
9527,-35.66543178
9547,-35.66836688
9558,-35.70736672
9520,-35.80058107
9855,-35.82282755
9849,-35.82843873
9546,-35.85678389
6961,-35.86288021
9906,-35.87141724
9535,-35.89282251
9902,-35.89549853
9573,-35.91250608
9532,-35.95147039
9551,-35.98653943
9602,-36.01359036
9552,-36.03120144
9578,-36.04515852
9882,-36.07103688
9852,-36.08316914
7328,-36.09094394
9531,-36.16144696
9886,-36.1968975
9904,-36.30320267
9562,-36.36108879
9820,-36.39325818
9868,-36.43683147
9833,-36.44816742
9867,-36.47453082
9950,-36.48829553
9897,-36.51634643
9881,-36.54008778
9864,-36.5824633
9895,-36.59647099
9556,-36.60390821
9880,-36.61813587
9822,-36.74536533
9856,-36.78552516
9526,-36.82947829
9826,-36.91644108
9819,-36.93648195
9824,-36.94636445
9843,-37.05816206
9851,-37.0683258
9839,-37.07833705
9840,-37.24084453
9890,-37.2427909
9599,-37.25560242
6933,-37.34515603
9553,-37.36165185
9853,-38.04277914