accession_id,name,LAP_SD_WW,LAP_SD_LW,FTP_SD_WW,FTP_SD_LW,heightP_SD_WW,heightP_SD_LW,YieldP_SD_WW,YieldP_SD_LW,LAPdSI_drought,FTPSI_drought,HeightPSI_drought,YielPSI_drought,SRTM_elevation,Dittberner_moleco18_Delta_13C
6961,Se-0,1.709836001,1.192028624,0.736972457,0.625515124,1.199203915,1.476368157,0.917874846,1.081749549,-0.517807377,-0.111457333,0.277164242,0.163874703,744,-35.86288
6970,Ts-1,1.170220238,0.939460541,0.661878107,0.614305176,1.07617051,1.266093053,1.558598185,3.284348029,-0.230759697,-0.047572931,0.189922543,1.725749844,14,NA
7081,Co,0.846080526,0.653700479,0.647907065,0.587401299,0.980499894,1.09505943,2.658562177,3.895275861,-0.192380047,-0.060505766,0.114559536,1.236713684,100,NA
8357,Pla-0,1.38748309,0.762956627,0.704140509,0.971528866,0.973758337,NA,1.816646251,NA,-0.624526463,0.267388357,NA,NA,219,NA
9518,IP-Alm-0,1.106755424,1.336418683,0.944791704,1.045663992,1.077657618,1.681904667,0.766411851,2.453486176,0.229663259,0.100872288,0.604247049,1.687074325,854,NA
9522,IP-Bea-0,1.411464682,1.114017616,0.739766665,0.753308536,0.983275829,1.569659224,2.142314432,1.257696765,-0.297447066,0.013541871,0.586383395,-0.884617667,148,NA
9524,IP-Ber-0,1.360667084,1.488035771,1.093932576,1.313805959,1.055103147,0.951568884,0.564006347,0.281515545,0.127368687,0.219873383,-0.103534263,-0.282490802,1079,-36.52058
9526,IP-Cab-3,0.970274411,0.481000263,0.770153681,0.612063186,0.802542633,1.001027958,1.778439369,3.479844935,-0.489274148,-0.158090495,0.198485325,1.701405566,301,-36.829478
9528,IP-Cal-0,1.398075423,1.030201263,0.815559567,0.87437598,1.349699247,1.503763153,1.622276321,1.549312984,-0.36787416,0.058816413,0.154063906,-0.072963337,1107,-35.315033
9531,IP-Cdc-3,0.752940573,1.241783737,1.131654389,1.177791918,1.334573234,1.997317322,0.374271493,0.965754718,0.488843164,0.046137529,0.662744088,0.591483225,787,-36.161447
9533,IP-Cem-0,0.981725855,NA,0.997532387,NA,0.369397634,NA,1.349976483,NA,NA,NA,NA,NA,873,NA
9539,IP-Deh-1,0.952738734,NA,0.977972929,NA,1.324517551,NA,1.143174155,NA,NA,NA,NA,NA,869,-35.410329
9543,IP-Gra-0,0.751781549,1.019293235,0.964001887,0.855543266,0.866091716,1.335394989,1.205336145,1.917824652,0.267511686,-0.108458621,0.469303273,0.712488507,1176,NA
9547,IP-Hor-0,1.368297534,0.923598161,1.004168632,1.225621032,0.943817896,1.501541937,0.504118576,1.998955869,-0.444699373,0.2214524,0.557724041,1.494837293,553,-35.668367
9550,IP-Iso-4,0.547807612,NA,1.634611895,NA,0.029742161,NA,NA,NA,NA,NA,NA,NA,1664,NA
9557,IP-Moa-0,0.893215425,1.345172099,1.016393294,1.042525207,1.19464345,2.010644617,0.648910528,3.157275039,0.451956674,0.026131913,0.816001167,2.508364511,1152,-34.31625
9560,IP-Mot-0,1.311954145,0.799414879,0.649653446,0.762276495,0.941835085,1.274977917,1.088592896,0.43986804,-0.512539266,0.112623049,0.333142832,-0.648724856,538,NA
9567,IP-Pal-0,1.11986021,1.14507298,1.009407773,1.138930763,1.411265519,1.657027049,0.110678665,0.095304742,0.02521277,0.12952299,0.24576153,-0.015373923,1429,NA
9568,IP-Pan-0,0.702410802,0.587073029,1.278350328,0.980496825,1.022138919,1.263131432,0.062920063,0.058649072,-0.115337773,-0.297853503,0.240992513,-0.004270991,1735,-34.89967
9584,IP-Stp-0,1.123640398,1.278975463,0.887161157,1.180781238,1.031061567,1.25720819,0.538989937,0.56938474,0.155335065,0.293620081,0.226146623,0.030394803,1138,NA
9586,IP-Tam-0,0.477732659,0.613588221,1.741490365,1.522759399,0.171760977,0.159927544,0.044347273,0.002443711,0.135855562,-0.218730966,-0.011833433,-0.041903562,1024,NA
9587,IP-Tdc-0,0.469192251,0.886897235,1.652948888,1.228610351,0.556178403,0.963119207,0.165563154,0.326479834,0.417704984,-0.424338537,0.406940804,0.16091668,934,-34.50327
9588,IP-Tol-7,1.015028083,1.330024106,1.000675872,1.23757831,1.959158606,1.200937387,0.509425088,0.283470514,0.314996023,0.236902438,-0.758221219,-0.225954574,806,-34.436674
9593,IP-Vaz-0,0.745817915,0.707635298,1.187538556,1.204695794,1.456091204,1.637036106,0.202730392,0.029324536,-0.038182617,0.017157238,0.180944902,-0.173405856,1713,NA
9598,IP-Vim-0,1.116868118,1.075101274,0.802636354,0.908005825,1.167875505,1.719221094,1.221710523,1.346484943,-0.041766844,0.105369471,0.551345589,0.12477442,691,NA
9601,IP-Voz-0,1.179169798,1.333953232,0.916849621,1.01562133,1.666155836,1.626818513,1.079799249,0.928610306,0.154783434,0.098771709,-0.039337323,-0.151188943,934,-35.500227
9819,IP-Amu-0,0.636484499,NA,1.316072141,NA,0.729872621,0.919583376,0.107343143,0.488742266,NA,NA,0.189710755,0.381399123,925,-36.936482
9822,IP-Aul-0,1.182180385,0.753398298,0.829530609,0.851956083,0.898956804,0.844062036,1.80345578,0.531099929,-0.428782087,0.022425474,-0.054894768,-1.272355851,808,-36.745365
9825,IP-Boa-0,1.143547261,1.332374492,0.798968955,0.80263231,1.588231375,1.883591069,1.149617776,1.307385562,0.188827231,0.003663355,0.295359694,0.157767786,655,-35.504643
9832,IP-Cat-0,0.985477067,1.26162405,1.053067279,0.903970244,0.533574361,0.676138115,1.503713697,2.15242094,0.276146983,-0.149097035,0.142563754,0.648707243,723,NA
9844,IP-Esn-2,0.771455903,1.076569583,0.983212069,1.180781238,0.743058312,1.141704964,0.677717304,0.928610306,0.30511368,0.197569169,0.398646652,0.250893002,542,-33.495217
9845,IP-Evs-0,1.295715471,NA,0.94514098,NA,1.070717781,NA,0.483953833,NA,NA,NA,NA,NA,639,NA
9846,IP-Ezc-2,0.896431512,1.034033592,1.43901731,1.180183374,0.649370506,0.38315974,0.209986234,NA,0.13760208,-0.258833936,-0.266210766,NA,834,-35.432135
9855,IP-Lam-0,1.247929135,NA,0.769105853,NA,1.11681813,NA,2.657425067,NA,NA,NA,NA,NA,720,-35.822828
9857,IP-Leg-0,0.952163331,1.398861519,0.882271292,0.860924042,1.188199315,1.03064417,1.724995219,2.759764663,0.446698188,-0.02134725,-0.157555145,1.034769444,682,-35.620801
9869,IP-Moj-0,0.983309034,NA,0.890653917,NA,0.924386351,NA,1.478242442,NA,NA,NA,NA,NA,752,NA
9871,IP-Nac-0,0.439775838,NA,1.786546975,NA,0.572040888,NA,0.20392165,NA,NA,NA,NA,NA,1345,NA
9874,IP-Oja-0,1.094890688,0.692326431,0.590276518,0.562739413,0.948774922,1.400846817,2.355181343,1.769247004,-0.402564257,-0.027537105,0.452071895,-0.585934339,809,-35.56386
9880,IP-Pib-1,0.907746387,1.079825223,1.122922488,1.255514227,0.826336361,1.214264683,0.188760189,0.198755188,0.172078836,0.132591739,0.387928322,0.009994999,618,-36.618136
9887,IP-Pun-0,0.712181132,0.922529308,1.066689044,1.318289939,0.855724449,0.5034756,1.560764108,0.847153261,0.210348176,0.251600895,-0.352248849,-0.713610847,788,NA
9905,IP-Ven-0,0.942450776,0.697399393,1.155604746,1.372097691,1.065265051,0.811484203,0.250164106,0.117298144,-0.245051383,0.216492945,-0.253780848,-0.132865962,1737,NA
9944,Don-0,1.309936127,NA,0.674102769,NA,0.848642982,NA,1.384241384,NA,NA,NA,NA,NA,4,NA