accession_id,accession_name,CS_number,Leaf_area_well_watered,Leaf_area_drought,LAP_well_watered,LAP_drought,PI,iWUE,NPP,SAUR26_haplotypes
6961,Se-0,CS76597,138.6722857,72.8624,1.704275725,1.176108173,-0.528167551,-35.86288021,2.508858267,Minor
6970,Ts-1,CS76615,94.908,57.42425,1.166414758,0.92691333,-0.239501428,NA,4.39468499,Major
7081,Co,CS78895,68.6194,39.95725,0.843329127,0.64496981,-0.198359317,NA,3.041338603,Minor
8357,Pla-0,CS76573,112.5286,46.6355,1.382971084,0.752766759,-0.630204325,NA,5.158464559,Minor
9518,IP-Alm-0,CS76660,89.76083333,81.6882,1.103156327,1.318569793,0.215413467,NA,2.615157485,Major
9522,IP-Bea-0,CS76695,114.4735714,68.094,1.406874689,1.099139062,-0.307735628,NA,4.502952735,Minor
9524,IP-Ber-0,CS78887,110.35375,90.95575,1.356242283,1.468161919,0.111919636,NA,2.488188982,Major
9526,IP-Cab-3,CS76738,78.69185714,29.401,0.967119141,0.474576138,-0.492543003,-36.82947829,4.405511824,Minor
9528,IP-Cal-0,CS78890,113.3876667,62.97075,1.393528973,1.01644214,-0.377086833,-35.31503306,1.430118114,Major
9531,IP-Cdc-3,CS76761,61.0655,75.90366667,0.750492059,1.225198769,0.474706709,-36.16144696,1.620078737,Major
9533,IP-Cem-0,CS76763,79.6206,NA,0.978533346,NA,NA,NA,1.549212593,Major
9535,IP-Coc-1,CS76776,62.2525,56.59525,0.765080232,0.913532029,0.148451797,-35.89282251,2.938976379,Major
9539,IP-Deh-1,CS76776,77.26966667,NA,0.949640489,NA,NA,-35.41032868,2.610236231,Major
9543,IP-Gra-0,CS76886,60.9715,62.304,0.749336804,1.005679797,0.256342993,NA,2.668307098,Major
9547,IP-Hor-0,CS76930,110.9726,56.45466667,1.363847919,0.911262804,-0.452585116,-35.66836688,4.677165373,Minor
9550,IP-Iso-4,CS76946,44.42866667,NA,0.546026178,NA,NA,NA,1.208661418,Minor
9557,IP-Moa-0,CS77102,72.44216667,82.22325,0.890310746,1.327206301,0.436895555,-34.31625025,2.424212625,Major
9560,IP-Mot-0,CS77109,106.403,48.864,1.307687755,0.788738084,-0.518949671,NA,2.059055114,Minor
9567,IP-Pal-0,CS77159,90.82366667,69.99225,1.116218497,1.129779657,0.01356116,NA,2.907480325,Major
9568,IP-Pan-0,CS77160,56.9674,35.88466667,0.700126607,0.579232221,-0.120894387,-34.89966984,0.648622046,Major
9584,IP-Stp-0,CS77283,91.13025,78.177,1.119986392,1.261893771,0.141907379,NA,1.713582687,Minor
9586,IP-Tam-0,CS77340,38.7454,37.5054,0.476179103,0.605393282,0.129214179,NA,1.757874018,Major
9587,IP-Tdc-0,CS77344,38.05275,54.21133333,0.467666468,0.875052046,0.407385578,-34.50326954,1.226377954,Major
9588,IP-Tol-7,CS77371,82.3215,81.29733333,1.011727278,1.31226062,0.300533343,-34.43667374,2.011811026,Major
9593,IP-Vaz-0,CS78836,60.48783333,43.254,0.743392564,0.698184289,-0.045208275,NA,2.152559062,Major
9598,IP-Vim-0,CS78844,90.581,65.71525,1.113236136,1.060742477,-0.052493659,NA,1.79625984,Minor
9601,IP-Voz-0,CS78849,95.63383333,81.5375,1.175335214,1.31613727,0.140802055,-35.50022732,1.719488204,Major
9819,IP-Amu-0,CS76664,51.6206,NA,0.634414692,NA,NA,-36.93648195,2.632874024,Minor
9822,IP-Aul-0,CS76675,95.878,46.05125,1.178336011,0.74333609,-0.434999921,-36.74536533,1.909448836,Minor
9825,IP-Boa-0,CS76714,92.74475,81.441,1.139828519,1.314579615,0.174751096,-35.50464334,1.258858275,Major
9832,IP-Cat-0,CS76759,79.92483333,77.1164,0.982272359,1.2447741,0.26250174,NA,1.316929134,Major
9844,IP-Esn-2,CS76846,62.56714286,65.805,0.768947178,1.062191176,0.293243998,-33.49521688,2.440944858,Major
9845,IP-Evs-0,CS76848,105.086,NA,1.291501888,NA,NA,NA,1.523622052,Major
9846,IP-Ezc-2,CS76849,72.703,63.205,0.893516375,1.020223285,0.12670691,-35.43213517,2.632874024,Major
9855,IP-Lam-0,CS77008,101.2104,NA,1.243870951,NA,NA,-35.82282755,1.818897653,Minor
9857,IP-Leg-0,CS77019,77.223,85.505,0.949066958,1.380178657,0.431111699,-35.62080077,1.263779535,Major
9869,IP-Moj-0,CS77105,79.749,NA,0.980111376,NA,NA,NA,2.378937018,Major
9871,IP-Nac-0,CS77117,35.667,NA,0.438345715,NA,NA,NA,1.540354343,Major
9874,IP-Oja-0,CS77143,88.79857143,42.31825,1.091330174,0.683079884,-0.408250291,-35.56385979,2.608267713,Minor
9880,IP-Pib-1,CS77175,73.62066667,66.004,0.904794454,1.065403334,0.16060888,-36.61813587,2.898622056,Minor
9887,IP-Pun-0,CS77196,57.7598,56.38933333,0.709865165,0.910208226,0.20034306,NA,2.316929116,Major
9905,IP-Ven-0,CS78840,76.43528571,42.62833333,0.939385987,0.688085093,-0.251300894,NA,2.008858277,Minor
9944,Don-0,CS76411,106.2393333,NA,1.305676299,NA,NA,NA,1.377952758,Major